time (min), RI signal
6.925,-0.004
6.92667,-0.004
6.92833,-0.004
6.93,-0.004
6.93167,-0.003
6.93333,-0.005
6.935,-0.006
6.93667,-0.005
6.93833,-0.005
6.94,-0.005
6.94167,-0.005
6.94333,-0.005
6.945,-0.005
6.94667,-0.003
6.94833,-0.002
6.95,-0.003
6.95167,-0.003
6.95333,-0.003
6.955,-0.002
6.95667,-0.002
6.95833,-0.001
6.96,0
6.96167,0.001
6.96333,0.001
6.965,0.001
6.96667,0.001
6.96833,0
6.97,0.001
6.97167,0
6.97333,0.001
6.975,0
6.97667,0
6.97833,0.001
6.98,0.001
6.98167,0.001
6.98333,0
6.985,0
6.98667,0.001
6.98833,0
6.99,0
6.99167,0
6.99333,-0.002
6.995,-0.004
6.99667,-0.004
6.99833,-0.003
7,-0.001
7.00167,0
7.00333,-0.002
7.005,-0.002
7.00667,-0.001
7.00833,-0.001
7.01,0
7.01167,0
7.01333,-0.001
7.015,-0.001
7.01667,-0.001
7.01833,0
7.02,-0.001
7.02167,-0.001
7.02333,-0.002
7.025,-0.001
7.02667,-0.001
7.02833,-0.002
7.03,-0.002
7.03167,-0.003
7.03333,-0.004
7.035,-0.004
7.03667,-0.005
7.03833,-0.006
7.04,-0.005
7.04167,-0.004
7.04333,-0.006
7.045,-0.003
7.04667,-0.004
7.04833,-0.004
7.05,-0.004
7.05167,-0.002
7.05333,-0.002
7.055,-0.003
7.05667,-0.002
7.05833,-0.002
7.06,-0.001
7.06167,-0.001
7.06333,0
7.065,0
7.06667,0
7.06833,-0.002
7.07,-0.004
7.07167,-0.006
7.07333,-0.005
7.075,-0.006
7.07667,-0.006
7.07833,-0.006
7.08,-0.004
7.08167,-0.005
7.08333,-0.005
7.085,-0.003
7.08667,-0.004
7.08833,-0.003
7.09,-0.002
7.09167,-0.003
7.09333,-0.005
7.095,-0.006
7.09667,-0.005
7.09833,-0.006
7.1,-0.005
7.10167,-0.005
7.10333,-0.003
7.105,-0.004
7.10667,-0.006
7.10833,-0.006
7.11,-0.006
7.11167,-0.008
7.11333,-0.008
7.115,-0.008
7.11667,-0.006
7.11833,-0.005
7.12,-0.004
7.12167,-0.003
7.12333,-0.003
7.125,-0.003
7.12667,-0.005
7.12833,-0.005
7.13,-0.005
7.13167,-0.004
7.13333,-0.003
7.135,-0.001
7.13667,-0.001
7.13833,-0.001
7.14,-0.002
7.14167,-0.002
7.14333,0
